ID,Date,Age,Gender,Region,Education,Income,Spending,Satisfaction,Experience,Credit_Score,Loan_Amount,Category
1,2021-10-11,39.96714153011233,Male,South,High School,55704.793864722626,5432.047298544656,9.271018665594502,1.1952491387689612,590.6656332482264,28037.76552950329,Medium
2,2021-04-30,33.61735698828815,Male,West,Bachelor,67970.88627192701,6393.666152427668,10.0,5.085372743549477,850.0,35075.44178599732,High
3,2022-09-18,41.47688538100692,Female,East,PhD,74604.73079264472,7529.894623856971,10.0,1.2334354595685904,731.9089129122992,37266.160435249505,High
4,2021-06-26,50.23029856408026,Female,West,High School,56488.740649815765,8071.28443462647,10.0,4.039106586390075,579.465030902408,37014.78875525903,Medium
5,2020-10-19,32.658466252766644,Male,West,Master,71341.87938505679,7307.113005200867,10.0,9.930134467413602,850.0,21241.92507614356,High
6,2021-11-01,32.6586304305082,Female,North,PhD,64000.42948288287,5287.512854440382,10.0,6.081943674307385,850.0,39077.309458663534,High
7,2022-04-17,50.79212815507391,Male,South,PhD,46778.95070937609,4777.123518204025,10.0,2.4095191851051982,640.2553750467961,22480.04857711406,Medium
8,2022-11-03,42.67434729152909,Female,East,PhD,58431.398484072015,5432.65247074896,7.687700951397258,4.9063895331827485,616.4977709305844,34389.26314884241,Medium
9,2021-09-25,30.305256140650478,Female,North,Bachelor,58948.545069000575,4322.500678631168,10.0,5.05405061613334,650.659594392635,26471.92167457013,Medium
10,2020-09-28,40.42560043585965,Female,North,PhD,98528.11507803267,7552.734436792256,10.0,6.417891037530217,818.5294029078353,1685.2090591648614,Very High
11,2022-11-14,30.365823071875376,Female,North,Master,73531.20840394407,7219.993623512361,10.0,0.8994249101575207,824.8480823109395,33112.69616351787,High
12,2020-11-17,30.34270246429743,Female,West,High School,45139.12769565034,4405.001586787357,9.827355510102118,6.777701821541992,697.3269884776581,3766.913931953109,Medium
13,2022-03-16,37.41962271566034,Male,South,Bachelor,76000.35569909473,7574.57209805407,10.0,3.113174894808326,712.1730322453664,32324.622606787234,High
14,2022-06-01,15.86719755342202,Female,South,Master,34724.038942635525,4809.296662645328,10.0,3.110346342908569,769.2492549157138,16787.196267211995,Low
15,2022-11-29,17.750821674869673,Male,East,High School,75115.77664574093,6396.415744009249,10.0,3.535178472645366,668.9479059863296,30392.50300198107,High
16,2020-08-22,29.377124707590273,Female,South,Bachelor,57621.692576526955,5600.442892233063,10.0,6.899980478213715,768.3353189897447,40372.63791302111,Medium
17,2022-04-11,24.87168879665576,Female,South,Master,61031.30156724031,7318.478439053917,10.0,5.067892558030607,643.2563232993527,33193.73983630516,High
18,2020-05-23,38.142473325952736,Female,North,High School,88958.18637610922,8124.054870998296,10.0,0.7833108384311398,771.0186685533077,16740.980050656282,Very High
19,2021-08-11,25.91975924478789,Male,North,Bachelor,43652.426093630194,5229.570312280584,10.0,2.0450206225489547,625.9485957082153,11126.234133191669,Medium
20,2020-08-16,20.876962986647086,Female,West,Master,39481.70871662867,5002.774691766942,10.0,5.5960400286422205,623.3781991679762,14637.973432914376,Low
21,2020-09-30,49.65648768921554,Female,North,Bachelor,66074.2539494177,6460.800582510766,10.0,4.762797974406331,644.4098561526145,27717.638206945998,High
22,2021-08-12,32.74223699513465,Female,North,High School,81946.80126285707,6515.667300849589,10.0,3.2626276710927606,848.3790056437837,16974.914038017894,Very High
23,2021-10-14,35.67528204687924,Male,North,High School,45047.44989128699,4004.2853247874696,8.204013119174927,3.557498631464062,566.8022959717205,2671.2684369580556,Medium
24,2021-08-05,20.752518137865433,Male,North,Bachelor,17893.925097274187,5567.305275959141,7.1811021681327665,7.088503991477867,511.76462493967756,6819.671729014643,Low
25,2022-08-25,29.556172754748175,Male,West,PhD,58010.703501239106,5995.327129097176,10.0,3.446922281392356,850.0,17373.727533137037,Medium
26,2021-01-06,36.10922589709866,Male,North,High School,76330.72494721314,7327.8391440698015,10.0,4.7357262679127805,800.4462063598594,49670.30162280258,High
27,2022-03-29,23.490064225776973,Female,East,Bachelor,79748.95835897092,6991.0119072330335,10.0,11.509809764241629,470.9865468486382,42632.41710951416,High
28,2021-07-25,38.75698018345672,Male,East,High School,62431.06966044737,5613.305681030563,8.296620758753182,0.7289520893482306,618.3362653998544,48071.58666134168,High
29,2021-06-28,28.99361310081195,Other,East,Bachelor,58325.40744366594,6265.967587144418,10.0,0.5555281947239763,485.45188113112647,18054.79079748311,Medium
30,2020-05-06,32.083062502067236,Male,East,Master,83350.04226486983,5832.962017837032,10.0,7.35076899439582,621.6310151882142,48351.23283473012,Very High
31,2022-01-02,28.98293387770603,Male,North,Master,36445.34144342171,6580.38409181025,10.0,2.9640708161176903,309.03921626343947,18750.087817878,Low
32,2021-02-20,53.522781845089376,Female,East,High School,70933.57929479955,5582.385068404554,10.0,4.0452874167721395,678.1682008202048,45617.106674293114,High
33,2021-09-29,34.86502775262066,Female,North,Bachelor,70288.8722251862,5903.173771297774,10.0,2.6565308656066575,576.3835625342413,23206.614809352763,High
34,2020-02-10,24.422890710440996,Female,West,High School,68949.72617449601,5793.972139177601,9.55056275907118,4.220599577697462,693.8899780286358,41082.36827749452,High
35,2022-02-25,43.225449121031886,Female,East,Bachelor,63965.624162652704,6835.630609719236,10.0,9.795614336289024,515.4191224370529,20839.987061339853,High
36,2020-10-23,22.791563500289776,Female,South,Master,61912.39692573251,5989.8039915727195,10.0,7.406385375854358,682.1159791686689,15936.077622600324,High
37,2020-02-11,37.08863595004755,Male,East,High School,31219.407673828937,3245.2771550552197,4.760088548019129,7.586670535660931,570.9471875356252,16529.802380238587,Low
38,2021-09-23,15.403298761202244,Other,East,Bachelor,47827.923195593394,6309.900578880414,9.903480113226092,0.7513188326220632,795.8511429100463,21567.844571615904,Medium
39,2020-02-02,21.718139511015693,Other,North,Bachelor,67661.70044382486,7068.3854628454865,10.0,1.5465387903413923,826.4590870622121,36206.23331101373,High
40,2021-10-26,36.96861235869123,Female,East,PhD,53749.89566552542,5940.092976338981,9.154101351200088,3.5172359784562808,736.034351632079,6110.887353900454,Medium
41,2021-09-07,42.38466579995411,Male,South,PhD,72077.09622382102,6891.076888771456,10.0,2.571857536751738,661.4928143815207,18523.61355324529,High
42,2022-08-05,36.7136828118997,Female,North,High School,75059.92891799031,8682.353398708547,10.0,7.870109559156975,850.0,33482.24293409741,High
43,2020-06-08,33.843517176117594,Male,North,Master,61783.52057519232,8009.76064171154,10.0,6.550839547245113,518.2635133664025,23599.743110691503,High
44,2021-04-02,31.988963044107113,Male,West,Bachelor,68551.43808700213,5539.204942244148,9.568219981821274,4.335460211143628,546.747013217638,44322.88226316315,High
45,2021-02-02,20.214780096325725,Male,West,Bachelor,45666.40156889368,6746.474552354802,7.60112876405706,4.933099148845841,632.9544931488808,28428.709377286643,Medium
46,2021-08-03,27.801557916052914,Male,East,Master,60801.60976258576,6510.076280684074,10.0,2.933343372273783,850.0,34158.05706327969,High
47,2020-08-07,30.393612290402125,Female,West,PhD,74350.0486890394,7307.596107793494,10.0,5.614276647205353,678.46620669107,33579.83447468842,High
48,2021-01-13,45.57122226218915,Female,West,PhD,75140.2055456211,5646.88965494073,10.0,7.297634838441844,681.955886770314,33415.6973346895,High
49,2022-07-18,38.43618289568462,Female,West,Bachelor,60420.12240438328,6325.1002928405305,10.0,0.1523396377685815,526.6492091975856,27745.422186612614,High
50,2022-08-21,17.36959844637266,Male,North,Bachelor,62048.04528754823,5380.924982384348,8.199825769339142,5.898943063512045,768.6890491021343,2785.439950643436,High
51,2020-08-20,38.24083969394795,Male,North,Master,79839.56670652324,7676.339703256382,10.0,7.797304612864002,804.9967588459818,22979.612119897774,High
52,2022-07-10,31.149177195836835,Male,North,Bachelor,34825.469419256246,5514.850184635451,8.423459813705739,3.754699133109891,698.5584589785035,4191.923086608893,Low
53,2020-08-21,28.230779996940413,Other,West,Bachelor,81501.50097280866,5415.881336778546,10.0,7.102101836361751,650.0809346608811,55691.02524736088,Very High
54,2021-12-26,41.11676288840868,Male,North,Bachelor,65514.56036398826,6564.674798123259,10.0,13.44396333341766,610.358443890676,26456.948553197442,High
55,2021-01-01,45.30999522495951,Female,West,Master,79037.34661108321,7580.353637603429,10.0,4.686971621039325,578.7624681816693,30846.41718366832,High
56,2021-04-25,44.31280119116199,Female,North,High School,90115.10445025942,7184.2021182291,10.0,6.179921150015971,738.6174590766122,54377.77687622424,Very High
57,2021-08-12,26.607824767773614,Male,North,High School,42728.80692542982,5995.127449574295,10.0,2.7858287490158253,527.4168809230094,11841.126304951098,Medium
58,2020-08-03,31.907876241487855,Female,South,PhD,55312.32308433073,6250.555829698622,10.0,5.543753487806152,542.8829956437326,12823.800645015423,Medium
59,2021-12-25,38.31263431403564,Female,East,High School,64828.086718882245,6442.106192142798,10.0,6.380814874946911,637.2871017466969,21656.82866108902,High
60,2021-12-12,44.75545127122359,Female,West,Bachelor,60621.42281874537,5984.899558706775,10.0,5.584527020810414,622.3272281190691,14705.7135527112,High
61,2022-09-11,30.2082576215471,Female,South,High School,91128.17744832567,6651.387397606123,10.0,1.9409140408734298,678.4585020144559,866.2086874112401,Very High
62,2021-01-25,33.14341023336183,Male,North,High School,53720.123709279025,5088.836989324127,7.185827246787929,5.619085313976353,704.0847071025843,16239.4126074587,Medium
63,2022-12-06,23.936650259939718,Male,West,High School,53635.12343766686,6264.140102212951,10.0,9.386587816152911,665.1750270903616,18372.333173514024,Medium
64,2021-01-26,23.037933759193294,Female,North,High School,64584.802353641295,6449.9331448716885,10.0,6.345907293543582,650.3540016561708,15939.260383375942,High
65,2021-12-18,43.125258223941984,Female,East,Master,53530.38622082966,6094.111897454228,10.0,7.8859615672155225,675.3620652728075,7933.459448673974,Medium
66,2021-01-19,48.56240028570823,Male,South,Bachelor,68345.98946651016,6197.807270477119,10.0,4.288964089962117,587.5392748225571,35882.69989419093,High
67,2021-01-15,34.27989878419666,Female,East,PhD,71901.74831085096,6360.801972316915,10.0,7.249700718271132,704.3313590126697,27991.528428495392,High
68,2021-08-26,45.03532897892024,Female,South,Bachelor,67524.75842372245,7358.25675382083,10.0,5.837803514649578,700.1097661319083,28709.55048376866,High
69,2022-07-22,38.61636025047634,Female,North,Bachelor,67907.37724173896,6054.117424951749,10.0,2.147267810938304,535.5100685477298,37032.140879869134,High
70,2021-02-02,28.548802453948756,Male,East,Bachelor,56334.41954024881,5221.462747476133,10.0,5.955563014396623,762.2382145175338,22563.02808501037,Medium
71,2020-04-09,38.61395605508414,Female,East,Bachelor,46589.92338983057,5960.431797462863,10.0,2.0249100096790684,555.0364762569616,16064.905691778296,Medium
72,2021-01-17,50.38036566465969,Female,North,Master,80014.08100241842,6782.216054984045,10.0,3.101359175345624,719.0591419254804,25869.035028565526,Very High
73,2021-12-07,34.64173960890049,Male,East,Bachelor,93644.86587915885,7540.2221853801575,10.0,5.567984921877122,850.0,19284.143335822577,Very High
74,2020-01-10,50.64643655814006,Male,West,Bachelor,75599.2427408216,8285.468820481976,10.0,5.891732820140372,793.7661612530301,41078.88477599155,High
75,2020-09-20,8.802548959102555,Other,South,Master,57780.23623826452,6046.000848598368,10.0,1.432302604768613,668.9938113334126,41428.29194037632,Medium
76,2022-04-11,43.21902504375224,Male,South,PhD,82000.35384862902,7231.8937566436125,10.0,8.161957313548628,677.7508074090512,42924.66334691216,Very High
77,2021-09-21,35.870470682381715,Female,South,Master,48895.27789299037,4616.915370635343,10.0,6.716018834901419,742.5417466435374,26379.44912144927,Medium
78,2022-01-31,32.009926495341325,Female,West,Bachelor,91542.68311961474,7099.6874004573965,10.0,2.8858146931673483,800.5548640200914,21502.834444144588,Very High
79,2020-07-13,35.91760776535502,Male,South,Master,70993.73582901954,7074.30174263249,10.0,0.3872456106524744,630.1509696536261,10652.603642077334,High
80,2021-07-15,15.124310853991073,Female,North,Bachelor,82040.00891333217,5948.252729008955,10.0,4.565286262755706,634.5906531264952,59562.20359236285,Very High
81,2020-04-06,32.80328112162488,Male,East,Bachelor,55406.145627952596,6272.449317802042,10.0,3.6621688584165195,453.57677308630537,49517.84947158813,Medium
82,2021-04-06,38.57112571511746,Female,West,High School,96556.4916959261,7754.293682366412,10.0,5.339421371159069,,66864.21788397504,Very High
83,2022-01-27,49.77894044741516,Male,South,Bachelor,86516.80263422933,7103.199570420954,10.0,3.9106500165333005,714.7638307666189,25512.318548207506,Very High
84,2020-03-27,29.817297817263526,Female,North,High School,73204.25019641714,7310.854036562444,10.0,1.0223705822350295,810.0276378570885,6985.296541884524,High
85,2022-09-17,26.915063971068122,Male,East,Bachelor,66967.89880083127,6348.632051857397,10.0,3.834959185096525,719.8413069496992,14308.441226760287,High
86,2020-03-17,29.982429564154636,Male,East,Master,61263.28551096057,7512.95326578498,10.0,4.083142666795061,805.9494904391902,1323.8497210253845,High
87,2021-10-22,44.15402117702074,Other,West,High School,90084.98546561846,7019.105519810501,10.0,6.900983074322176,660.4335481396198,43342.66927532271,Very High
88,2022-02-03,38.287511096596845,Male,West,High School,71249.15359601912,6735.240649165401,10.0,2.9054009761668507,806.3133402888001,44842.08762517227,High
89,2021-11-08,29.702397962329613,Female,West,High School,35345.15342735752,5079.090089616864,7.677284773094565,10.036024020117699,567.7986689442495,14504.944475315977,Low
90,2022-03-01,40.13267433113356,Male,North,PhD,53308.540239961745,4836.81509311007,8.524409231311086,0.734921651955271,734.3766866591508,32380.968131789217,Medium
91,2021-08-05,35.9707754934804,Female,North,Bachelor,65197.70146384899,7005.898745325374,10.0,8.933502493407874,534.5195636746287,47011.68142451519,High
92,2021-11-01,44.68644990532889,Male,West,Bachelor,76993.20970014777,8642.791605878892,10.0,4.327043087365686,727.4999493369144,25453.133425966294,High
93,2021-06-21,27.979469061226474,Other,South,Master,63140.90719711479,6081.362301993161,10.0,7.578754617030668,477.81302024963856,46119.00520514441,High
94,2021-03-05,31.723378534022316,Male,East,Master,84146.2511139161,7301.769115053013,10.0,5.239404452176199,691.5787536336567,60275.109753909644,Very High
95,2022-12-28,31.078918468678424,Male,East,Bachelor,36272.93127375984,4934.112297061721,8.827347830148641,8.418666608076407,666.581261935311,17408.264538658306,Low
96,2020-05-12,20.364850518678814,Male,North,Master,62336.24430691681,5537.877697377291,10.0,3.8379141063415663,622.575633490724,25264.970531138046,High
97,2020-07-07,37.96120277064576,Male,East,Master,41710.91300451556,3778.00957279974,7.148240532059765,1.7041387244665636,528.3780631334344,20306.60234870031,Medium
